                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.52507,                0.49468,                 1.0087,                0.99097,                      1,                  0.995,                0.92024,                0.38559,                0.28972,                0.92336,              0.0090397,              0.0090397,              0.0090397
                     99,                0.53666,                0.50188,                 1.0275,                0.94937,                0.97754,                  0.995,                0.91573,                0.40689,                0.36879,                0.92719,              0.0090298,              0.0090298,              0.0090298
                    100,                0.48136,                0.45758,                0.98253,                0.99421,                      1,                  0.995,                0.94007,                0.37209,                0.29681,                0.93013,              0.0090199,              0.0090199,              0.0090199
                    101,                0.50646,                0.47586,                 1.0079,                0.99243,                      1,                  0.995,                0.93326,                 0.4021,                0.32612,                0.93186,                0.00901,                0.00901,                0.00901
                    102,                0.51737,                0.46781,                 1.0033,                 0.9891,                      1,                  0.995,                0.93005,                0.40821,                0.29883,                0.92947,              0.0090001,              0.0090001,              0.0090001
                    103,                0.50854,                0.49076,                0.99601,                0.99025,                      1,                  0.995,                0.92219,                0.38473,                0.29018,                0.93185,              0.0089902,              0.0089902,              0.0089902
                    104,                0.51029,                 0.4451,                 1.0026,                0.98626,                      1,                  0.995,                0.91721,                0.42152,                0.31957,                0.93663,              0.0089803,              0.0089803,              0.0089803
                    105,                0.53591,                0.51818,                  1.033,                0.98272,                      1,                  0.995,                0.93055,                 0.3891,                0.31632,                 0.9239,              0.0089704,              0.0089704,              0.0089704
                    106,                0.48812,                0.48127,                0.99376,                0.99105,                      1,                  0.995,                0.92109,                0.39188,                0.30182,                0.92118,              0.0089605,              0.0089605,              0.0089605
                    107,                0.49168,                0.50278,                 1.0006,                0.99279,                      1,                  0.995,                0.94568,                0.36544,                0.29659,                0.91585,              0.0089506,              0.0089506,              0.0089506
                    108,                0.48991,                0.48104,                0.99166,                0.91884,                 0.8842,                0.89858,                0.83762,                 0.3517,                0.66987,                0.90906,              0.0089407,              0.0089407,              0.0089407
                    109,                0.49933,                0.51817,                 1.0006,                0.96337,                0.99948,                  0.995,                 0.9227,                0.39443,                0.35369,                0.93688,              0.0089308,              0.0089308,              0.0089308
                    110,                 0.4817,                0.49648,                0.98322,                0.98602,                      1,                  0.995,                 0.9172,                0.41675,                0.36826,                0.94935,              0.0089209,              0.0089209,              0.0089209
